,prices,rarity,mana_cost,colors,set
14633,0.51,rare,{6},[],c21
14634,0.09,rare,{5},[],kld
14635,2.49,mythic,{3}{G}{W},"['G', 'W']",c20
14636,5.06,uncommon,{3}{R}{R},['R'],cm2
14637,4.46,rare,{1}{U}{U},['U'],vis
14638,0.23,uncommon,{2}{R},['R'],dka
14639,1.58,rare,{2}{B}{R},"['B', 'R']",unh
14640,,common,,[],tmh1
14641,,mythic,{1}{W}{U}{B},"['B', 'U', 'W']",c18
14642,1.05,mythic,{6}{U}{R},"['R', 'U']",stx
14643,0.10,uncommon,{1}{W},['W'],dtk
14644,0.95,rare,{2},[],c21
14645,0.01,common,{3}{R}{R},['R'],thb
14646,0.10,rare,{2},[],m19
14647,0.04,common,{1}{G},['G'],iko
14648,0.23,uncommon,{1}{U},['U'],plc
14649,11.53,uncommon,,[],leg
14650,0.05,common,{3}{B},['B'],pcy
14651,0.01,common,{3}{B},['B'],khm
14652,0.09,common,{R},['R'],tsr
14653,0.21,common,{2},[],ust
14654,2.45,rare,{R}{W},"['R', 'W']",vis
14655,7.27,uncommon,{U},['U'],leg
14656,0.44,rare,{3}{W},['W'],wwk
14657,0.11,uncommon,,,dka
14658,0.25,rare,{W}{W},['W'],war
14659,0.11,common,{W},['W'],usg
14660,0.11,uncommon,{3},[],ice
14661,,common,,,aznr
14662,0.01,common,{1}{U}{U},['U'],tsr
14663,0.53,rare,{1}{R} // {X}{B}{B},"['B', 'R']",akh
14664,0.14,common,{3}{U},['U'],pcy
14665,0.10,uncommon,{3}{W}{W},['W'],mm2
14666,13.46,rare,{G},['G'],2xm
14667,0.91,rare,{1}{U},['U'],cmb2
14668,2.95,mythic,{2}{R}{R}{R},['R'],m20
14669,0.20,rare,{5}{W}{B},"['B', 'W']",c21
14670,0.06,common,{1}{U}{U},['U'],pcy
14671,0.54,rare,{8}{G},['G'],pcy
14672,,rare,{1}{U}{U},['U'],me3
14673,0.09,uncommon,{3},[],gtc
14674,0.02,uncommon,{2}{G},['G'],stx
14675,1.76,uncommon,{G},['G'],lrw
14676,3.66,mythic,{2}{W}{U},"['U', 'W']",mid
14677,0.01,common,{1}{G},['G'],mh2
14678,0.33,rare,{2}{R}{R},['R'],inv
14679,0.17,common,{2}{G},['G'],lrw
14680,1.98,rare,{B}{B},['B'],chk
14681,0.10,common,{1}{W},['W'],nem
14682,5.10,rare,{G}{W},"['G', 'W']",uma
14683,0.01,common,{1}{U},['U'],m21
14684,0.21,uncommon,{3},[],inv
14685,0.01,uncommon,{3}{R},['R'],m21
14686,0.09,common,{2}{G},['G'],all
14687,0.11,uncommon,{3}{W},['W'],gpt
14688,0.11,common,{W},['W'],exo
14689,0.06,common,{2}{B},['B'],cn2
14690,0.10,common,{1}{R},['R'],9ed
14691,0.19,uncommon,{3}{U},['U'],ons
14692,1.71,rare,{1}{B}{B},['B'],mic
14693,0.09,common,{2}{W},['W'],ody
14694,,rare,{X}{U}{U},['U'],me4
14695,,uncommon,{2}{R},['R'],me1
14696,0.49,rare,{3}{G},['G'],mmq
14697,17.67,common,,[],oarc
14698,0.37,rare,{2},[],apc
14699,0.06,uncommon,{4}{B}{B},['B'],xln
14700,2.94,rare,{3},[],fem
14701,0.17,rare,{6}{R}{R},['R'],rav
14702,0.03,common,{1}{U},['U'],afr
14703,0.15,uncommon,{3},[],gtc
14704,0.27,rare,{X}{G}{G},['G'],mic
14705,0.12,common,{2},[],m19
14706,,common,,['W'],tafr
14707,0.01,uncommon,{2}{W},['W'],znr
14708,0.10,rare,{4},[],cmr
14709,1.27,uncommon,{B}{B},['B'],ema
14710,0.23,rare,{R},['R'],tsp
14711,0.05,uncommon,{1}{R},['R'],afr
14712,0.58,rare,{2}{R},['R'],mma
14713,,common,,,avow
14714,1.12,rare,{X}{W}{W},['W'],bok
14715,0.20,common,{1}{R},['R'],znr
14716,0.10,uncommon,{6}{U}{B},"['B', 'U']",bbd
14717,0.14,common,{3}{U}{U},['U'],unh
14718,0.10,common,{R},['R'],a25
14719,0.22,rare,{4}{U}{B},"['B', 'U']",eld
14720,6.99,uncommon,{4}{U},['U'],nem
14721,,common,,"['R', 'W']",tstx
14722,6.34,rare,{4},[],m20
14723,0.21,common,{W},['W'],mrd
14724,0.05,common,{2}{U/R}{B},"['B', 'R', 'U']",arb
14725,0.01,uncommon,{4}{R}{R},['R'],cmr
14726,5.94,uncommon,{3}{G},['G'],leg
14727,4.84,uncommon,{B},['B'],usg
14728,7.96,common,{G},['G'],ptk
14729,0.15,common,{1}{R},['R'],mm2
14730,,common,,,aafr
14731,0.28,rare,{2}{W}{B},"['B', 'W']",dom
14732,0.10,common,{1}{R},['R'],5ed
14733,1.87,rare,{2},[],hml
14734,0.02,uncommon,{1}{W},['W'],thb
14735,0.20,uncommon,{3}{G},['G'],mir
14736,0.42,rare,{5}{R}{R},['R'],arc
14737,3.50,uncommon,{2},[],cmr
14738,0.31,rare,{4}{U},['U'],c13
14739,0.18,uncommon,{X}{G},['G'],gvl
14740,0.12,uncommon,{5}{W}{W},['W'],c13
14741,0.14,common,,[],mh2
14742,0.03,common,{2}{U},['U'],m14
14743,3.24,rare,{2}{G}{G},['G'],gpt
14744,2.00,uncommon,{2}{R},['R'],evg
14745,3.00,rare,{3}{R},['R'],lrw
14746,0.21,uncommon,{1}{R},['R'],rav
14747,0.21,common,{G},['G'],7ed
14748,0.09,uncommon,{U},['U'],kld
14749,0.05,common,{3}{G},['G'],m20
14750,0.26,rare,{4}{B}{G}{U},"['B', 'G', 'U']",apc
14751,0.02,common,{3}{B},['B'],bbd
14752,0.23,uncommon,{W}{B},"['B', 'W']",mid
14753,0.01,common,{1}{W/B}{W/B},"['B', 'W']",stx
14754,0.20,uncommon,{G}{W},"['G', 'W']",war
14755,0.03,uncommon,{2}{W},['W'],dka
14756,0.10,uncommon,{2}{B},['B'],c19
14757,0.46,common,,['R'],tcns
14758,0.08,uncommon,{2}{U}{R},"['R', 'U']",dgm
14759,0.12,uncommon,{3},[],ori
14760,0.02,common,{1}{U},['U'],znr
14761,0.18,rare,{3}{G}{W},"['G', 'W']",c18
14762,199.35,rare,{2}{B}{B},['B'],ptk
14763,0.02,common,{1}{W},['W'],hou
14764,0.07,uncommon,{4}{G}{G},['G'],mm2
14765,2.42,mythic,,,soi
14766,,mythic,{2},[],vma
14767,0.04,common,{3}{G},['G'],ori
14768,,common,,,tust
14769,0.23,rare,{U},['U'],5ed
14770,0.01,common,{3},[],dom
14771,0.07,common,{3}{W},['W'],mir
14772,0.11,common,{1}{B},['B'],isd
14773,9.07,rare,{3},[],wth
14774,,uncommon,{5}{G}{G}{G},['G'],vma
14775,,common,,,astx
14776,0.01,common,{1}{U},['U'],war
14777,0.33,rare,{1}{U},['U'],5dn
14778,0.26,rare,{4}{U},['U'],10e
14779,0.30,rare,{2}{G},['G'],emn
14780,0.15,uncommon,{2}{R},['R'],rix
14781,0.17,uncommon,{3}{G},['G'],m21
14782,0.15,uncommon,{2}{W},['W'],inv
14783,0.10,uncommon,{G},['G'],afr
14784,1.70,rare,{5},[],mrd
14785,2.79,rare,{3}{W},['W'],9ed
14786,0.12,rare,{5}{G}{G},['G'],frf
14787,0.20,common,{R},['R'],rtr
14788,,common,,['U'],tiko
14789,4.57,rare,{5},[],dom
14790,0.14,uncommon,{4}{G}{G},[],bfz
14791,0.25,rare,{2}{U}{U},['U'],ody
14792,0.07,common,{R},['R'],plc
14793,0.14,common,{U},['U'],ons
14794,0.07,common,{1}{R},['R'],cns
14795,,uncommon,{B},['B'],me2
14796,0.01,common,{3}{W},['W'],afr
14797,0.11,common,{U},['U'],ddt
14798,3.91,rare,{1}{G}{U},"['G', 'U']",c16
14799,5.57,rare,{3}{W/P}{W/P},['W'],nph
14800,,common,,,amh1
14801,,uncommon,{4},[],vma
14802,0.02,common,{1}{U}{B},"['B', 'U']",grn
14803,0.03,common,{1}{U},['U'],grn
14804,1.41,rare,{5},[],c15
14805,0.98,mythic,{3}{G}{W},"['G', 'W']",grn
14806,,uncommon,{2}{W},['W'],tpr
14807,0.14,uncommon,{U/R} // {4}{U}{R},"['R', 'U']",grn
14808,0.12,common,{3}{U},['U'],e01
14809,0.94,rare,{4}{B}{B},['B'],cmb2
14810,,common,{W},['W'],vma
14811,0.90,rare,{X}{R},['R'],cm2
14812,,rare,{2}{R}{R},['R'],me4
14813,0.10,uncommon,{2},[],m19
14814,0.11,common,{W}{U},"['U', 'W']",inv
14815,0.02,common,{1}{G},['G'],bbd
14816,0.10,uncommon,{2}{R} // {2}{W},"['R', 'W']",akh
14817,0.06,common,{3}{W},['W'],tsr
14818,0.10,uncommon,{3}{B},['B'],ddj
14819,,common,,,amid
14820,0.12,uncommon,{1}{R},['R'],dis
14821,0.15,uncommon,{1}{B}{G},"['B', 'G']",grn
14822,3.74,mythic,{3}{U}{U},['U'],m12
14823,0.09,common,{U},['U'],ody
14824,0.15,common,{2}{W},['W'],mmq
14825,0.87,rare,{2}{R}{R},['R'],m20
14826,0.12,common,{2}{U},['U'],cn2
14827,0.08,uncommon,{3}{W},['W'],ima
14828,0.08,uncommon,{3}{G}{G},['G'],10e
14829,0.59,common,,[],oe01
14830,0.22,uncommon,{1}{U},['U'],inv
14831,0.75,common,,['U'],temn
14832,,rare,{1}{R},['R'],y22
14833,,rare,{U}{U},['U'],me4
14834,0.29,uncommon,{1}{R},['R'],ons
14835,0.05,common,{5}{B},['B'],plc
14836,0.11,uncommon,{1}{B},[],bfz
14837,0.08,common,{W},['W'],ddp
14838,0.17,rare,{5}{U}{U},['U'],cmr
14839,0.15,uncommon,{2}{R},['R'],dde
14840,1.10,rare,{3},[],mrd
14841,0.93,common,,[],opca
14842,0.02,common,{1}{B}{B},['B'],mh1
14843,1.24,rare,{3}{W},['W'],m14
14844,0.48,rare,{4}{G}{W},"['G', 'W']",grn
14845,0.02,common,{4}{R},['R'],m20
14846,0.10,uncommon,{1}{G}{U},"['G', 'U']",akh
14847,,mythic,{4}{W}{B},"['B', 'W']",prm
14848,20.40,rare,{2},[],c16
14849,0.03,common,{4}{R},['R'],c19
14850,30.87,rare,{2}{B}{B},['B'],mir
14851,0.31,rare,{3}{R}{R}{G}{G},"['G', 'R']",gpt
14852,0.03,common,{2}{G},['G'],vow
14853,5.95,rare,{4}{U}{U},['U'],lrw
14854,14.99,common,{1}{G}{G},['G'],pmic
14855,4.16,rare,,[],pvan
14856,0.11,rare,{4}{R}{R},['R'],c13
14857,0.09,rare,{1}{G}{U},"['G', 'U']",cmr
14858,0.09,uncommon,{2}{G}{G},['G'],rav
14859,0.07,common,{2}{R},['R'],jmp
14860,21.15,mythic,{4}{B}{B}{B},['B'],sld
14861,0.01,common,{2}{R},['R'],khm
14862,0.08,uncommon,{2},[],akh
14863,7.77,uncommon,{2}{R}{R},['R'],cma
14864,,common,{B},['B'],tpr
14865,1.76,common,,[],tm15
14866,0.02,uncommon,{3}{W},['W'],ktk
14867,2.67,mythic,{6}{U}{U}{U},['U'],eld
14868,0.06,uncommon,{2}{W},['W'],bbd
14869,3.47,uncommon,{3},[],pca
14870,0.04,common,{1}{U},['U'],cns
14871,0.02,uncommon,{3}{U}{U},['U'],afr
14872,0.33,rare,{1}{W},['W'],exo
14873,0.01,common,,,vow
14874,0.03,common,{3}{W}{U},"['U', 'W']",rna
14875,0.41,uncommon,{X}{Y}{Z}{R}{R},['R'],ugl
14876,0.27,uncommon,{3},[],5dn
14877,0.05,uncommon,{2}{W}{W},['W'],tsr
14878,0.03,common,{3},[],stx
14879,0.12,uncommon,{2}{R},['R'],ody
14880,0.01,common,{3}{W}{W},['W'],afr
14881,0.24,uncommon,{B},['B'],bbd
14882,0.11,uncommon,{1}{W},['W'],8ed
14883,0.16,uncommon,{3}{U},['U'],mmq
14884,9.49,mythic,{2}{B}{R}{G},"['B', 'G', 'R']",eld
14885,0.54,rare,{4}{B},['B'],voc
14886,0.51,rare,{U},['U'],cmb2
14887,0.02,common,{3}{W},['W'],akh
14888,0.10,uncommon,{3}{B},['B'],c14
14889,0.09,uncommon,{2}{U}{U},['U'],chk
14890,0.17,uncommon,{3}{U},['U'],ktk
14891,1.20,common,{R/P},['R'],mm2
14892,24.91,rare,{2},[],10e
14893,0.10,common,{W},['W'],con
14894,0.19,common,{1}{U},['U'],ody
14895,0.24,rare,{1}{R},['R'],und
14896,0.13,uncommon,{3}{R},['R'],tor
14897,,common,,,amid
14898,2.23,rare,{2}{R}{R},['R'],afc
14899,0.23,common,{W},['W'],mmq
14900,0.25,rare,{3}{G}{G},['G'],znc
14901,0.12,uncommon,{4}{R},['R'],chr
14902,0.11,rare,{X}{G}{G}{G},['G'],cmr
14903,0.06,common,{3}{B},['B'],ktk
14904,0.03,common,{U},[],bfz
14905,3.29,rare,{2}{W},[],ogw
14906,,mythic,{W}{U}{B},"['B', 'U', 'W']",afc
14907,5.67,uncommon,{R},['R'],5dn
14908,0.23,uncommon,{5}{B}{B},['B'],bok
14909,0.23,uncommon,{1}{B}{G},"['B', 'G']",khc
14910,5.03,rare,{4},[],khm
14911,0.14,common,{3}{R},['R'],mh1
14912,0.07,uncommon,{3}{U}{U},['U'],2xm
14913,0.10,common,{G},['G'],gtc
14914,0.17,uncommon,{X}{G},['G'],mir
14915,0.23,common,{1}{G},['G'],lrw
14916,0.01,common,{4}{U}{U},['U'],khm
14917,17.19,mythic,{9},[],2xm
14918,0.24,common,{1}{W},['W'],usg
14919,0.10,uncommon,{2}{G}{G},['G'],khc
14920,0.07,common,{B},['B'],isd
14921,,common,,['B'],tc17
14922,0.17,uncommon,{2}{R/W},"['R', 'W']",eve
14923,0.61,common,,[],tm20
14924,,common,,,avow
14925,0.19,rare,{3}{U}{U},['U'],m13
14926,0.55,rare,{3}{U}{B},"['B', 'U']",znc
14927,1.29,mythic,{2}{B}{G},"['B', 'G']",khc
14928,0.21,uncommon,{1},[],ody
14929,4.47,common,{2}{G/W},"['G', 'W']",shm
14930,,common,,,akhm
14931,0.07,uncommon,,,soi
14932,0.23,uncommon,,[],dde
14933,,common,,['W'],tc19
14934,0.12,rare,{4}{W},['W'],voc
14935,16.21,rare,{4},[],c17
14936,0.17,uncommon,{4},[],ema
14937,0.24,rare,{B},['B'],mh1
14938,0.16,uncommon,{R}{R},['R'],ice
14939,2.31,rare,{1}{W},['W'],vow
14940,0.09,common,{W},['W'],fem
14941,0.50,uncommon,{4}{G}{G},['G'],nph
14942,0.25,uncommon,{5}{U},['U'],lgn
14943,0.80,special,{1},[],tsb
14944,0.27,common,{1}{U},['U'],por
14945,0.15,rare,{B}{B}{B},['B'],dom
14946,0.21,uncommon,{2}{U}{U},['U'],m19
14947,0.12,common,{1}{B},['B'],mh1
14948,0.26,uncommon,{2}{G},['G'],mic
14949,0.08,uncommon,{2}{W},['W'],aer
14950,0.01,common,{4}{W},['W'],jmp
14951,0.39,uncommon,{2}{G},['G'],ons
14952,,common,,,aznr
14953,0.06,uncommon,{3}{U},['U'],emn
14954,0.02,common,{3}{R},['R'],aer
14955,,mythic,{3}{B},['B'],htr19
14956,0.10,common,{1}{W}{W},['W'],jud
14957,0.08,uncommon,{R},['R'],eld
14958,0.21,uncommon,{2}{G}{G},['G'],jud
14959,0.10,common,{2}{R},['R'],m11
14960,0.03,common,{4}{G/U}{G/U},"['G', 'U']",rna
14961,0.06,uncommon,{3}{G}{G},['G'],jmp
14962,,rare,{1}{B}{B},['B'],anb
14963,0.03,uncommon,{4}{U}{U},['U'],rtr
14964,0.09,common,{1}{U},['U'],gtc
14965,19.00,rare,{4}{G},['G'],lrw
14966,0.17,rare,{1}{G},['G'],stx
14967,3.56,uncommon,{1}{B}{B},['B'],c17
14968,0.11,uncommon,{3}{B},['B'],uds
14969,0.83,common,{W},['W'],atq
14970,0.01,common,{4},[],m21
14971,0.23,common,{1}{W},['W'],shm
14972,0.03,common,{2}{B},['B'],som
14973,,common,,,amh1
14974,,common,{U},['U'],me2
14975,0.01,common,{4}{U},['U'],khm
14976,0.11,rare,{2}{B}{G}{U},"['B', 'G', 'U']",ktk
14977,,rare,{3}{G}{G},['G'],vma
14978,0.07,common,{1}{R}{G},"['G', 'R']",arb
14979,0.07,common,{2}{G},['G'],dka
14980,0.99,rare,{3}{G},['G'],cmb2
14981,0.18,rare,{2}{B},['B'],frf
14982,,rare,{9},[],me4
14983,2.30,mythic,{2}{R}{R},['R'],ori
14984,,uncommon,{3}{B}{R}{G},"['B', 'G', 'R']",me3
14985,0.30,common,{R},['R'],som
14986,0.25,rare,{2}{W}{W},['W'],tor
14987,5.93,mythic,{4}{R}{W}{B},"['B', 'R', 'W']",cma
14988,0.06,common,{1}{R},['R'],ddj
14989,0.47,rare,{X}{G},['G'],10e
14990,,common,,['U'],tc21
14991,0.29,rare,{4}{W}{W},['W'],ons
14992,0.09,common,{1}{G/W},"['G', 'W']",shm
14993,0.06,uncommon,{1},[],rna
14994,0.48,rare,{1}{G}{U},"['G', 'U']",stx
14995,0.11,common,{3}{R},['R'],jud
14996,0.06,common,{3}{W},['W'],ons
14997,0.03,common,{2}{R},['R'],m12
14998,0.06,uncommon,{4}{W},['W'],iko
14999,,common,,,akhm
15000,0.22,uncommon,{3}{R}{R},['R'],soi
15001,0.05,uncommon,{G/W}{G/W}{G/W}{G/W} // {G/W}{G/W}{G/W}{G/W},"['G', 'W']",eld
15002,,mythic,{1}{B},['B'],sld
15003,0.50,mythic,{X}{R}{R},['R'],cmr
15004,0.12,rare,{2}{B},['B'],akh
15005,0.45,rare,{3}{B}{B},['B'],eld
15006,0.12,rare,{10}{R}{R},['R'],m21
15007,0.03,common,{4}{R},['R'],aer
15008,17.30,rare,{2},[],cm2
15009,0.09,rare,{6}{R},['R'],eld
15010,42.78,mythic,{6}{B}{B},['B'],bbd
15011,0.25,common,{1}{G},['G'],apc
15012,0.04,uncommon,{3}{B}{B},['B'],bng
15013,0.10,common,{1}{B},['B'],jud
15014,0.34,uncommon,{3}{G},['G'],mmq
15015,0.52,common,,['B'],tema
15016,0.17,common,{U},['U'],vis
15017,0.23,rare,{3}{U},['U'],dom
15018,0.01,common,{2}{W},['W'],thb
15019,0.23,rare,{1}{R}{W},"['R', 'W']",ths
15020,4.49,rare,{1}{W/B}{W/B},"['B', 'W']",eve
15021,0.19,uncommon,{B},['B'],thb
15022,0.37,rare,{2}{B},['B'],wwk
15023,0.05,common,{1}{W}{W},['W'],uma
15024,0.19,uncommon,{X}{R}{R},['R'],gnt
15025,0.22,uncommon,,[],ddj
15026,0.20,uncommon,{W},['W'],mor
15027,0.04,common,{2}{G},['G'],m15
15028,0.33,common,,[],thp1
15029,0.17,common,{1}{B}{G},"['B', 'G']",ddj
15030,0.12,common,{6},[],jvc
15031,0.12,common,,,tgk1
15032,0.01,common,{4}{W},['W'],vow
15033,0.17,uncommon,{1}{G},['G'],ody
15034,0.10,uncommon,{2}{U},['U'],ddj
15035,0.01,common,{3}{B},['B'],bbd
15036,0.23,rare,{1}{U},['U'],voc
15037,0.15,common,{G},['G'],plc
15038,0.14,common,{3}{W},['W'],chk
15039,0.14,rare,{3}{R}{R},['R'],m11
15040,0.12,uncommon,{5}{G},['G'],dtk
15041,0.09,uncommon,{1}{U}{U},['U'],wwk
15042,0.46,rare,{2}{W}{W},['W'],jmp
15043,0.54,rare,{2}{U},['U'],cm2
15044,1.35,uncommon,,[],cm2
15045,0.09,uncommon,{4}{G},['G'],ddr
15046,0.02,uncommon,{3}{G}{U},"['G', 'U']",stx
15047,0.10,uncommon,{2}{G}{G},['G'],chk
15048,0.17,rare,{1}{B}{G},"['B', 'G']",znr
15049,0.46,rare,{2},[],8ed
15050,0.07,common,{1}{B},['B'],mor
15051,0.04,common,{1}{B},['B'],m20
15052,0.10,common,{2}{G},['G'],pls
15053,56.77,uncommon,{3}{G},['G'],ptk
15054,0.13,common,{2}{U},['U'],csp
15055,0.01,common,{3}{G},['G'],thb
15056,0.08,common,{1}{R},['R'],bok
15057,0.08,common,{3}{W},['W'],lrw
15058,0.10,uncommon,{1}{U},[],bfz
15059,0.23,rare,{3}{R},['R'],c20
15060,0.01,common,{2}{W},['W'],khm
15061,0.26,mythic,{4}{W}{W},['W'],c20
15062,0.21,uncommon,,[],ddn
15063,2.30,uncommon,{1}{W}{U},"['U', 'W']",mm3
15064,0.25,common,{U},['U'],gpt
15065,,common,,[],t2xm
15066,0.25,uncommon,{3}{R}{R},['R'],jmp
15067,,rare,{1}{R},['R'],psdg
15068,0.48,rare,{G},['G'],ust
15069,0.03,common,{1}{R},['R'],ori
15070,,uncommon,{1}{W}{W},['W'],vma
15071,0.04,common,{3}{B},['B'],war
15072,0.34,common,{2}{G},['G'],tsr
15073,0.10,uncommon,{5}{G}{G},['G'],dom
15074,0.24,uncommon,{2}{G},['G'],soi
15075,0.24,uncommon,{3}{G}{G},['G'],ody
15076,0.47,rare,{2}{B}{B},['B'],dst
15077,0.09,common,{1}{G},['G'],akh
15078,0.14,uncommon,{X}{1}{W},['W'],sth
15079,0.20,uncommon,{1}{R},['R'],dis
15080,0.51,rare,{5}{R},['R'],m11
15081,,mythic,{3}{R}{W},"['R', 'W']",htr18
15082,6.82,uncommon,{G},['G'],2ed
15083,,common,,[],wc01
15084,0.20,uncommon,{3}{B},['B'],inv
15085,6.95,mythic,{1}{G}{W}{U},"['G', 'U', 'W']",emn
15086,1.11,rare,{4}{W}{B},"['B', 'W']",cmb2
15087,0.25,common,{1}{R},['R'],ddt
15088,0.99,rare,,[],pvan
15089,0.31,rare,{X}{2}{B}{R},"['B', 'R']",afr
15090,,common,,['B'],tc21
15091,0.02,common,{3}{W},['W'],bfz
15092,0.03,common,{2}{R},['R'],jmp
15093,0.05,uncommon,{2}{G}{G},['G'],jou
15094,0.15,uncommon,{4}{W}{W},['W'],chk
15095,0.07,uncommon,{G}{W},"['G', 'W']",grn
15096,0.63,mythic,{3}{G}{G}{G},['G'],isd
15097,0.10,uncommon,{R}{W},"['R', 'W']",emn
15098,,rare,,[],pmoa
15099,0.02,common,{2}{B},['B'],mid
15100,0.03,common,{1}{W},['W'],aer
15101,,mythic,{4}{G}{U},"['G', 'U']",c21
15102,,common,,,aafr
15103,0.07,uncommon,{2}{G},['G'],uma
15104,0.10,common,{1}{G},['G'],evg
15105,0.23,rare,,[],bfz
15106,,common,{3}{B}{B},['B'],vma
15107,10.20,rare,{4}{G}{G},['G'],cn2
15108,0.13,rare,{3}{W}{B},"['B', 'W']",bfz
15109,0.07,common,{4}{W},['W'],ddo
15110,1.08,uncommon,{G},['G'],afc
15111,9.23,rare,{G}{G}{G},['G'],drk
15112,0.11,common,{3}{W},['W'],mbs
15113,,common,{1}{R},['R'],me3
15114,0.13,uncommon,{4}{R},['R'],lrw
15115,0.39,rare,{2},[],6ed
15116,0.24,uncommon,{2}{G}{U},"['G', 'U']",mh1
15117,0.13,common,{1}{W},['W'],tor
15118,0.39,uncommon,{W}{W},['W'],thb
15119,0.42,rare,{2},[],som
15120,,rare,{1}{W}{W},['W'],tpr
15121,,common,,,amh1
15122,0.23,special,{1}{R},['R'],tsb
15123,0.10,common,{G},['G'],wth
15124,0.02,common,{3}{G}{G},['G'],roe
15125,0.07,uncommon,{2}{U}{U},['U'],ktk
15126,0.44,rare,{2},[],ugl
15127,19.88,mythic,{1}{U}{R},"['R', 'U']",ema
15128,0.01,common,{4}{B},['B'],eld
15129,1.58,rare,{2}{B}{B},['B'],chk
15130,0.03,common,{2}{R},['R'],tsp
15131,0.01,common,{4}{U},['U'],xln
15132,1.25,common,,[],opca
15133,0.10,common,{G}{G},['G'],dst
15134,0.12,rare,{5}{B}{B},['B'],c19
15135,0.48,rare,{X}{W}{W},['W'],frf
15136,0.18,rare,{2}{B}{B},['B'],m11
15137,0.34,rare,{1}{B}{B},['B'],m20
15138,0.01,common,{1}{W},['W'],tsr
15139,0.02,common,{2}{U},['U'],war
15140,0.29,uncommon,{W},['W'],c14
15141,0.24,uncommon,{3}{R/P}{R/P},['R'],c15
15142,6.65,rare,{5}{R}{R},['R'],shm
15143,0.17,uncommon,{2}{G},['G'],ktk
15144,1.33,rare,{1}{U}{U},['U'],bok
15145,0.04,common,{B},['B'],jmp
15146,0.04,uncommon,{3}{W},['W'],rna
15147,0.03,common,{1}{U},['U'],m19
15148,0.33,rare,{2}{B}{G}{G},"['B', 'G']",rav
15149,1.03,common,{G},['G'],nph
15150,1.73,rare,{3}{W},['W'],ice
15151,0.13,uncommon,{3}{B},['B'],usg
15152,,common,{B}{B},['B'],me1
15153,12.62,rare,{3}{W}{W},['W'],c17
15154,0.07,common,{1}{U},['U'],bok
15155,6.66,mythic,{2}{G},['G'],cc1
15156,0.24,common,{3},[],c13
15157,0.01,common,{4}{B},['B'],rix
15158,0.09,common,{4}{G},['G'],ody
15159,,mythic,{3}{U}{R},"['R', 'U']",h17
15160,0.16,common,{B},['B'],ody
15161,0.07,uncommon,{3}{W}{B},"['B', 'W']",gtc
15162,0.10,common,{G},['G'],dst
15163,0.11,common,,['G'],takh
15164,0.24,uncommon,{1}{B},['B'],afc
15165,0.24,uncommon,{R}{G}{W},"['G', 'R', 'W']",dde
15166,0.83,uncommon,{3}{W}{B},"['B', 'W']",cn2
15167,0.11,uncommon,{4}{U},['U'],frf
15168,2.24,rare,{1}{U}{U}{U},['U'],ust
15169,6.03,rare,{2},[],mrd
15170,0.07,common,{3}{U},['U'],xln
15171,0.01,common,{4}{U},['U'],cmr
15172,6.90,rare,{2}{U}{U},['U'],m20
15173,0.19,common,{1}{B},['B'],unh
15174,2.07,common,{4}{R}{R},['R'],jvc
15175,8.86,rare,{G},['G'],eve
15176,0.14,uncommon,{1}{W},['W'],mrd
15177,0.06,common,{4}{U},['U'],tsp
15178,44.28,rare,{2},[],vis
15179,0.04,common,{1}{R},['R'],rix
15180,1.48,rare,{6}{U},['U'],mh2
15181,0.05,common,{1}{G},['G'],ktk
15182,10.20,mythic,{4}{B}{B},['B'],stx
15183,0.03,uncommon,{4}{W},['W'],tsr
15184,0.06,common,{1}{U},['U'],mh1
15185,0.06,common,{1}{U},['U'],mh1
15186,4.27,rare,,[],bok
15187,,common,,,mstx
15188,0.05,common,{1}{R},['R'],ice
15189,0.08,uncommon,{3}{W},['W'],2xm
15190,0.90,rare,{6}{W},['W'],cm2
15191,0.10,common,{B},['B'],2xm
15192,0.94,mythic,{4}{U}{B}{R},"['B', 'R', 'U']",c13
15193,0.06,common,{2}{R},['R'],10e
15194,,rare,{B},['B'],sum
15195,0.08,common,{3}{G}{G},['G'],rix
15196,0.01,common,{3}{B},['B'],afr
15197,0.17,common,{G},['G'],inv
15198,0.12,uncommon,{1}{B}{R},"['B', 'R']",inv
15199,,common,{2}{U},['U'],me4
15200,0.01,common,{4}{R},['R'],ogw
15201,0.01,common,{1}{U},['U'],cmr
15202,0.09,uncommon,{2}{B},['B'],rix
15203,,common,,['U'],tc21
15204,0.14,uncommon,{1}{B}{R},[],ogw
15205,1.46,rare,{1}{U}{U},['U'],mm3
15206,0.05,common,{1}{W},['W'],gn2
15207,0.23,rare,{2}{R},['R'],m21
15208,0.07,common,{1}{G}{G},['G'],jmp
15209,0.01,common,{2}{R},['R'],gtc
15210,0.12,uncommon,{6},[],nph
15211,0.04,common,{U},['U'],con
15212,0.10,uncommon,{G},['G'],chr
15213,0.15,common,{1}{U},['U'],usg
15214,0.10,common,{R},['R'],jvc
15215,,rare,,[],pmoa
15216,0.61,uncommon,{B},['B'],rtr
15217,0.06,common,{1}{U},['U'],ori
15218,0.41,rare,{1}{R}{R},['R'],frf
15219,0.01,common,{1}{G},['G'],afr
15220,0.07,common,{2}{W},['W'],ody
15221,0.06,uncommon,{W},['W'],ala
15222,,common,,,amh1
15223,0.29,rare,{4}{G}{G},['G'],c21
